Number,Abstract
52,"Purpose: The purpose of this study was to examine the job histories of physical education teacher education (PETE) graduates over a 15-year span. Method: A total of 118 graduates/participants completed a Qualtrics, open-ended survey. Face validity of the survey questions was established via a panel of experts and the survey was pilot-tested by PE teachers. Data were analyzed inductively via constant comparison. Trustworthiness of the data was addressed via peer debriefing and the use of member checks. Results: During the first year after graduation, of the 118 participants in this study, 82% were employed in schools, with 48% securing full-time teaching positions in health and/or PE, and adapted physical education (APE), and the other 34% in roles such as part-time teaching. Ultimately, 75% of graduates taught full-time in health, PE and/or APE. A total of 7% of those who taught opted to leave teaching. Almost all of the 80 participants still teaching planned to teach till retirement, or a very long time, with none stating that they planned to leave the profession soon. A few (3%) stated that they were undecided, however. Conclusion: There is a lack of research in the area of job histories of PETE graduates in the United States, and much of the overall research on organizational socialization is dated. The authors hope to spur further inquiry into this important area. The results of this study are encouraging but follow up studies are envisioned to further examine issues such as job satisfaction and teacher/coach orientations from acculturation through the life span of teachers."
53,"Purpose: Despite the well-known health benefits of physical activity (PA), disadvantaged populations usually have lower PA levels than the rest of the population. Some intra- and interpersonal factors such as different types of barriers to PA may influence PA levels, particularly among disadvantaged adult women. The first aim of this qualitative study was to identify the barriers to PA perceived by disadvantaged adult women. The second aim was to analyse the differences in perceived barriers to PA between adult Roma and non-Roma women. Methods: Eleven disadvantaged adult women participated in the current study (M = 37.72; SD = 8.34), seven of whom belonged to the Roma population. Data were obtained from discussion groups as well as from one-to-one interviews, and these were analysed by NVivo Pro 11. Results: Three categories of perceived barriers to PA were identified: personal (i.e., economy, labour, physical limitations, illness, and psychological characteristics) social (i.e., culture, lack of social support, and family), and environmental. Family was identified as the main common and most frequent barrier to PA in disadvantaged adult women. Differences in perceived barriers to PA between adult Roma and non-Roma women were found. While Roma women perceived culture, physical limitations, and lack of social support barriers to PA, non-Roma women mainly perceived labour-related barriers to PA. Conclusions: Multilevel interventions addressing specific barriers to PA for disadvantaged adult women are required to overcome barriers to PA and, consequently, increase PA levels. Particular attention should be paid to specific barriers to PA among adult Roma and non-Roma women, respectively."
54,"Purpose: The purpose of this study was to examine whether structured physical activity (PA) in a family-based community exercise program affects PA of young children and parents. Method: Twenty-two children (mean ± SD; age, 4.9 ± 2.1 years) and their parents (age, 34.3 ± 7.6 years) participated in unstructured PA sessions followed by either short- or long-duration structured PA sessions, while wearing an ActiGraph GT9X activity monitor on their right hip to estimate PA. Independent t-tests compared children’s and parents’ PA during short- and long-structured PA sessions. Paired t-tests compared short- versus long-structured PA sessions. A mixed model ANOVA compared PA during unstructured versus structured sessions and between children and parents. Results: Children spent proportionately more time in moderate-to-vigorous PA (MVPA) and had higher accelerometer counts/min than parents during short-structured PA (children:60.9 ± 18.8% vs. parents:17.7 ± 6.8%, children:3870 ± 742 vs. parents:1836 ± 556 counts/min, p < .05) and long-structured PA (children:61.1 ± 20.1% vs. parents:12.6 ± 4.9%, children:3415 ± 758 vs. parents:1604 ± 633 counts/min, p < .05). No statistical differences were found between short- and long-structured PA sessions for proportion of time spent in MVPA or counts/min for children or parents (all, p > .05). Children spent proportionally more time in MVPA and had higher counts/min during unstructured PA compared to structured PA (unstructured MVPA:54.4 ± 3.9% vs. structured MVPA:38.2 ± 4.2%, unstructured counts/min:3830 ± 222 vs. structured counts/min:2768 ± 239 counts/min; p < .05). Conclusions: Children were more active than parents during both the unstructured and structured PA sessions. However, unstructured PA sessions resulted in 63–77% and 10–11% of PA recommendations for children and adults, respectively. Family-based exercise programming can provide an opportunity for children and their parents to attain MVPA during the week."
55,"Purpose: The role of a structured program of exercise training on the low-risk pregnancy in Iranian women undergoing in vitro fertilization (IVF) based on the reduction of gestational diabetes was examined. Method: A comparative quasi-experimental clinical trial with 170 IVF-pregnant women in two intervention and control groups was studied to monitor the training effect of physical activities in terms of walking, and aerobic, strength-conditioning, and relaxation exercises during pregnancy on the improvement of maternal and fetal health. Gestational diabetes as the main complication was evaluated with 2-h 75-g OGTT and FBS tests in 24–28 and 34- weeks’ gestation, respectively. Other adverse maternal (e.g., preeclampsia, cesarean section, and preterm delivery) and neonatal (e.g., intrauterine growth retardation, low/high birth weight, and fetal death) outcomes were determined and analyzed by statistical and regression tests. Results: A significantly lower gestational diabetes and preeclampsia rate was found in the intervened IVF-pregnant women with the maintenance of an active lifestyle. Although there was no significant difference in other negative maternal and neonatal outcomes between the two groups, lower symptoms from these complications were recorded in IVF-pregnant women trained with regular exercise activities. Conclusion: Implementing the physical activity program by IVF-women during pregnancy is an effective intervention strategy in reducing the risk of adverse maternal and fetal outcomes."
56,"Purpose: To evaluate vascular function and its relationship to cardiorespiratory fitness in professional handball athletes. Method: We examined 30 male professional handball athletes (age 27 ± 4 y) and 10 male sedentary controls (age 26 ± 5 y) at rest. The workup included exercise testing via ergometry. To assess vascular function, a validated electronic model of the arterial tree (vasc assist 2®) was used. It replicates noninvasively acquired pulse pressure waves by modulating the relevant functional parameters of compliance, resistance, inertia, pressure, and flow. The maximum oxygen uptake (VO2max) was estimated using the validated heart rate ratio method. Results: Athletes had a significantly lower systolic and diastolic central blood pressure (cBP) compared to controls (102 ± 9/60 ± 9 vs. 110 ± 8/74 ± 9 mmHg, p < .01), whereas aortic pulse wave velocity (PWV) (6.2 ± 0.8 vs. 6.3 ± 0.5 m/s, p = .45) and augmentation index at a heart rate of 75 (Aix@75) (-4 ± 12 vs. -13 ± 16%, p = .06) were not different. Resistance index (R) (15.9 ± 4.4 vs. 10.6 ± 0.6, p = .001) and maximum power output (MPO) (3.55 ± 0.54 vs. 2.46 ± 0.55 Watt/kg, p < .001) were significantly higher in athletes compared to controls. We found no relevant correlation between MPO, resting heart rate, PWV, Aix@75, and cBP. A higher VO2max (p = .02) and a lower R (p < .01) were significant predictors of a higher MPO in athletes. Conclusion: R had an independent and strong correlation to MPO in athletes, which might help to disentangle the contribution of aerobic capacity and arterial function to physical power."
57,"Purpose: To study the pacing behavior and performance of novice youth exercisers in a controlled laboratory setting. Method: Ten healthy participants (seven male, three female, 15.8 ± 1.0 years) completed four, 2-km trials on a Velotron cycling ergometer. Visit 1 was a familiarization trial. Visits 2 to 4 involved the following conditions, in randomized order: no opponent (NO), a virtual opponent (starting slow and finishing fast) (OP-SLOWFAST), and a virtual opponent (starting fast and finishing slow) (OP-FASTSLOW). Repeated measurement ANOVAs (p < .05) were used to examine differences in both pacing behavior and also performance related to power output, finishing- and split times, and RPE between the four successive visits and the three conditions. Expected performance outcome was measured using a questionnaire. Results: Power output increased (F3,27 = 5.651, p = .004, <U+03B7>2p = .386) and finishing time decreased (F3,27 = 9.972, p < .001, <U+03B7>2p = .526) between visit 1 and visits 2, 3 and 4. In comparison of the first and second visit, the difference between expected finish time and actual finishing time decreased by 66.2%, regardless of condition. The only significant difference observed in RPE score was reported at the 500 m point, where RPE was higher during visit 1 compared to visits 3 and 4, and during visit 2 compared to visit 4 (p < .05). No differences in pacing behavior, performance, or RPE were found between conditions (p > .05). Conclusion: Performance was improved by an increase in experience after one visit, parallel with the ability to anticipate future workload."
58,"Purpose: To compare children’s energy expenditure (EE) levels during object projection skill performance (OPSP; e.g., kicking, throwing, striking) as assessed by hip- and wrist-worn accelerometers. Method: Forty-two children (female n = 20, Mage = 8.1 ± 0.8 years) performed three, nine-minute sessions of kicking, over-arm throwing, and striking at performance intervals of 6, 12, and 30 seconds. EE was estimated using indirect calorimetry (COSMED k4b2) and accelerometers (ActiGraph GT3X+) worn on three different locations (hip, dominant-wrist, and non-dominant-wrist) using four commonly used cut-points. Bland-Altman plots were used to analyze the agreement in EE estimations between accelerometry and indirect calorimetry (METS). Chi-square goodness of fit tests were used to examine the agreement between accelerometry and indirect calorimetry. Results: Hip- and wrist-worn accelerometers underestimated EE, compared to indirect calorimetry, during all performance conditions. Skill practice at a rate of two trials per minute resulted in the equivalent of moderate PA and five trials per minute resulted in vigorous PA (as measured by indirect calorimetry), yet was only categorized as light and/or moderate activity by all measured forms of accelerometry. Conclusion: This is one of the first studies to evaluate the ability of hip- and wrist-worn accelerometers to predict PA intensity levels during OPSP in children. These data may significantly impact PA intervention measurement strategies by revealing the lack of validity in accelerometers to accurately predict PA levels during OPSP in children."
59,"Purpose: The concepts of creativity and intuition have been well studied in isolation, but less is known about their distinctive contributions to option generation in decision making. Method: We examined the relation between creative and intuitive decision making in two studies—one involving coaches and one involving soccer players—using video footage of real soccer matches. Additionally, we analyzed whether this relation is culture generic or culture specific by conducting matched cross-cultural studies in a European and a South American country. Results: In Study 1, results indicate a conceptual overlap of creativity and intuition for Brazilian and German soccer coaches. Furthermore, coaches did not differ in their evaluation of creative and intuitive actions of players of both cultures. In Study 2, we found that for both subsamples the total number of generated options was positively correlated with the quality of the first and the final option and that the quality of players’ first (intuitive) option was higher than that of options generated later. Moreover, results indicate a positive correlation between a player’s creativity score and the quality of the first generated option for the whole sample. Conclusion: Overall, our findings provide meaningful information regarding athletes’ and coaches’ option-generation processes in decision making in complex team sports."
60,"Purpose: Work ability of physical education teachers (PETs) is important to promote physical activity and effective teaching process. However, there was a limited study. In this study, work ability of the Turkish PETs was investigated. Method: The mixed methods were used. The study group consisted of 407 (Mage = 36.52 ± 6.9) PETs. “The Work Ability Questionnaire” was used as a data collection tool. Descriptive statistic, independent sample t-test, analysis of variance (ANOVA), multiple regression analysis, and chi-square were used in the analysis of qualitative data, and content analysis was used in the analysis of quantitative data. Result: The PETs were satisfied with their current job, and while there was a significant difference according to the gender (p < .05), a significant difference was not detected according to the age (p > .05). Furthermore, the PETs had a high work ability; when the comparison according to the gender and age significant differences was found (p < .05). Also, it was found that job satisfaction predicted physical fitness, work ability, work motivation, and work atmosphere of the PETs (R2 = .463, F = 30.945, p < .05). Some of the PETs had a physical disease affecting their work abilities, and most of the PETs had musculoskeletal and respiratory diseases. In the comparison, according to gender, a significant difference was not found in terms of injury or disease (p > .05). Moreover, health problems were seen as the main problems which will threaten for the future work abilities. Conclusion: Higher work ability was associated with positive outcomes and higher job satisfaction. The healthy PETs had more work abilities."
61,"Purpose: The association between an overlooked classical Lactate Threshold (LT), named “Minimum Lactate Equivalent” (LEmin), with Maximal Lactate Steady State (MLSS) has been recently described with good MLSS prediction results in endurance-trained runners. This study aimed to determine the applicability of LEmin to predict MLSS in lower aerobic-conditioned individuals compared to well-established blood lactate-related thresholds (BLTs). Method: Fifteen soccer players [velocity at MLSS (MLSSV) 13.2 ± 1.0 km·h-1; coefficient of variation (CV) 7.6%] conducted a submaximal discontinuous incremental running test to determine BLTs and 3–6 constant velocity running tests to determine MLSSV. Results: LEmin did not differ from conventional LTs (p > .05) and was 24% lower than MLSS (p < .001; ES: 3.26). Among LTs, LEmin best predicted MLSSV (r = 0.83; p < .001; SEE = 0.59 km·h-1). There was no statistical difference between MLSS and estimated MLSS using LEmin prediction formula (p = .99; ES: 0.001). Mean bias and limits of agreement were 0.00 ± 0.58 km·h-1 and ±1.13 km·h-1, respectively. LEmin best predicted MLSSV (r = 0.92; p < .001; SEE = 0.54 km·h-1) in the pooled data of soccer players and endurance-trained runners of the previous study (n = 28; MLSSV range 11.2–16.5 km·h-1; CV 9.8%). Conclusion: Results support LEmin to be one of the best single predictors of MLSS. This study is the sole study providing specific operational regression equations to estimate the impractical gold standard MLSSV in soccer players by means of a BLT measured during a submaximal single-session test."
62,"Purpose: This study aimed (1) to compare physical activity (PA) indicators, metabolic biomarkers, and comorbidity, (2) to investigate the relationship between PA indicators and metabolic biomarkers, comorbidity and (3) to identify barriers to PA in patients with type 2 diabetes (T2DM) who are using oral hypoglycaemic agent (OHA) or combined OHA and insulin (OHAiN). Methods: Sixty-one patients were classified as patients using only OHA or combined OHAiN. Metabolic biomarkers (waist-to-hip ratio, body mass index (BMI), lipid profile, glycosylated haemoglobin (HbA1c), fasting blood glucose, comorbidity and PA indicators (self-reported PA, number of steps (NOS), 6-minute walking distance (6MWD)) were assessed. PA perceptions and reasons for inactivity were questioned. Results: The comorbidity (p = .013), low-density lipoprotein-cholesterol (p = .026), total cholesterol (p = .008) and HbA1c (p = .020) were higher and PA level was lower (p = .007) in the OHAiN group. NOS was positively correlated with high-density lipoprotein-cholesterol (p = .037) and negatively correlated with BMI (p = .007). 6MWD was negatively correlated with BMI (p = .014) and comorbidity (p = .004) in the OHA group. BMI was a significant predictor of NOS (adjusted R2 = 0.242) and comorbidity for 6MWD (adjusted R2 = 0.250) in the OHA group. The majority of the patients (OHA = 34.3%, OHAiN = 42.3%) reported “lack of time” as the most common barrier to PA. Conclusions: This study showed that patients on OHAiN have lower PA levels, poorer metabolic profiles, and higher comorbidity rates than OHA users. PA indicators were related with some metabolic biomarkers and comorbidity in only OHA users. The most common reason for inactivity was “the lack of time” in both groups."
63,"Purpose: A paucity of literature examines how doctoral students are prepared for the transition into physical education teacher education faculty roles. Given the need to understand how doctoral programs impact such preparation, we sought to investigate this process using a longitudinal approach grounded in occupational socialization theory. Method: Fourteen participants (8 males, 6 female) were interviewed during final stages of doctoral programs and their first years in faculty positions; questions focused on key socializing agents and experiences that shaped their preparation for their academic careers. Data were analyzed using a constant comparison approach entailing open and axial coding. Results: Strong advisor-advisee relationships and finding a supportive department culture during one’s first faculty position were key socializing mechanisms. Participants who independently sought research experiences transitioned more smoothly into faculty roles; however, many had heavy teaching loads which conflicted with ambitions to regularly conduct research. Further, some faculty members experienced tense sociopolitical environments which hindered their productivity and confidence in current job roles. Conclusions: Our results speak to the challenges and successes that faculty members experience as they transition into the academy. Findings have implications for further research and practice to enhance the quality of doctoral education and faculty induction programs."
64,"Purpose: Quality physical education (PE) reaches many objectives (e.g., knowledge, physical fitness, and physical skills) and could provide at least half the dose of recommended daily physical activity for youths if their opportunity to learn is provided according to national professional recommendations (min/week) and related state mandates. A 2015 California class-action lawsuit required affected schools to post data indicating they scheduled PE time meeting the state mandate of 200 min per 10-day period. The extent to which schools posted PE schedules on their websites and demographic factors related to their compliance was investigated in this study. Method: We performed a quantitative, cross-sectional content analysis of the websites of 37 school districts plus a random sample of 860 elementary schools in them. Z tests were used to analyze frequencies/proportions and associations among demographic (e.g., Hispanic enrollment, PE specialist) and PE schedule variables (e.g., schools meeting state-mandated PE time). Results: Twenty-two districts (59.4%) had websites with =1 page/document related to PE opportunities. Only 11% of schools posted PE schedules, an event that was associated with employing a PE specialist (p = .01). Of schools posting schedules, 68% specified a PE volume that met the state mandate. Meeting the mandate was independently associated with enrolling a minority of Hispanic students (p = .02). Conclusion: Websites can provide information about the importance/occurrence of PE; however, schools in the lawsuit did not use the potential of their websites to inform constituents either about the lawsuit or their PE programs. Non-compliant schools should adjust PE schedules to meet statutory requirements."
