ID,titles,issue,volume
2700,Effect of Selected Doses of Alcohol on Fatigue Parameters of the Forearm Flexor Muscles,4,40
2701,Relationship between Motor Achievement and Selected Personality Factors of Junior and Senior High School Boys,4,40
2702,Ergometric Reproducibility of the Cardiopulmonary Response to Exercise,4,40
2703,Investigation of the T-5 Cable Tensiometer Grip Attachment for Measuring Strength of College Women,4,40
2704,An Evaluation of Equipment for Determining Oxygen Uptake,4,40
2705,A Multiple Timing System for Measuring the Components of the Sprint-Velocity Curve,4,40
2706,A Pilot Investigation of Physical Working Capacity in Depressed and Nondepressed Psychiatric Males,4,40
2707,A Plausible Solution to the Mystery of Veering,4,40
2708,Critical Comments on Rosemier's Exaggerated Alpha Test,4,40
2709,A Reply to Baumgartner's Critique of Exaggerated Alpha Procedure,4,40
2710,The Original Table of Contents and The Research Quarterly Editors,4,40
2711,Correction,1,41
2712,A Sociopsychological Assessment of Attitude toward Physical Activity in Champion Athletes,1,41
2713,Measurement Schedules for Tests of Motor Performance,1,41
2714,Visual and Verbal Feedback and its Effect upon Acquisition and Retention of a Projectile Skill,1,41
2715,Endurance Training as a Determinant of Strength and Fatigability,1,41
2716,Effect of Viewing Video Tapes of a Sport Skill Performed by Self and others on Self-Assessment,1,41
2717,Effects of Massed and Distributed Practice Schedules upon the Acquisition of Pursuit Rotor Tracking by Normal and Mentally Retarded Subjects,1,41
2718,A Comparison of Delayed Static and Dynamic Visual Feedback,1,41
2719,Cardiovascular Response to Exercise as Influenced by Training of Various Intensities,1,41
2720,Programed Vs. Teacher-Directed Instruction in Beginning Tennis for Women,1,41
2721,Motor Learning Characteristics of Low-Skilled College Men,1,41
2722,Propelling Force Measured during Tethered Swimming in the Four Competitive Swimming Styles,1,41
2723,An Investigation of the Relationship between Maximum Aerobic work Capacity and Physical Fitness in Twelve- to Fifteen-Year-Old Boys,1,41
2724,Battery of Defensive Softball Skills Tests for College Women,1,41
2725,Effects of Mental Practice on Selected Volleyball Skills for College Women,1,41
2726,A Cinematographic Study of Selective Factors in the Pole Vault,1,41
2727,Muscular Endurance Retention as a Function of Length of Detraining,1,41
2728,Effect of Varied Weight-Training Loads on the Strength of University Freshmen,1,41
2729,Relationship between Dynamic Strength and Dynamic Endurance,1,41
2730,Effect of Warm-Up on Running Performance,1,41
2731,Magnetic Tape Natograph,1,41
2732,"Learning, Training, and Performance",1,41
2733,The Original Table of Contents and Research Quarterly Editors,1,41
2734,Corrections,2,41
2735,Effect of Clothing on Boys' Perceptions of Body Images under Induced Aniseikonia,2,41
2736,The Use of Analysis of Variance in Estimating Reliability of Isometric Elbow Flexion Strength,2,41
2737,A Comparison of Two Middle-Aged Ultramarathon Runners,2,41
2738,Smoking and Selected Cardiovascular-Respiratory Measures,2,41
2739,Recreation Preference and Temperament,2,41
2740,Test Reliability and Errors of Measurement at Several Levels of Absolute Isometric Strength,2,41
2741,Psychological Femininity and the Prospective Female Physical Educator,2,41
2742,A Comparison of the Effectiveness of the Command Method and the Task Method of Teaching the Forehand and Backhand Tennis Strokes,2,41
2743,Social Reinforcement and Complex Motor Performance,2,41
2744,A Stroboscopic Study of the Relationship of Ball Velocity and Tennis Performance,2,41
2745,"High-Resistance, Low-Repetition Training as a Determiner of Strength and Fatigability",2,41
2746,Comments on O'Shea's Study on the Effects of Short-Term Weight Training on Performances in the 400-Meter Run,2,41
2747,Comparison of Reaction-Movement Times from Four Variations of the Upright Stance,2,41
2748,A Radiotelemetry Transmitter for Monitoring Heart Rate during Swimming,2,41
2749,A Simple Electrogoniometer: A Technical Note,2,41
2750,Stochastic Processes: Their Nature and use in the Study of Sport and Physical Activity,2,41
2751,A High Speed Timing Unit for Cinematography,2,41
2752,The Original Table of Contents and Research Quarterly Editors,2,41
2753,From the Editor's Desk…,3,41
2754,Effect of a Gross Motor Developmental Program on form Perception Skills of Educable Mentally Retarded Children,3,41
2755,Effect of Length of Cold Showers on Skin Temperatures and Exercise Heart Rate,3,41
2756,Effects of the Asymmetrical Tonic Neck Posture upon Grip Strength of Normal Children,3,41
2757,John Swett's Experience with Physical Exercise at the Rincon School: Foundation for the First State Physical Education Law in the U.S.,3,41
2758,Two Methods of Teaching Beginning Swimming,3,41
2759,Effect of Hand Spacing and Rear Knee Angle on the Sprinter's Start,3,41
2760,"Effects of Time, Endurance, and Scoring Variables on Tennis Results",3,41
2761,Maryland Colonials at Play: Their Sports and Games,3,41
2762,An Information Processing Approach to the Study of a Complex Motor Skill,3,41
2763,A Perceptual-Motor Development Program's Effect on Visual Perception and Reading Readiness of First-Grade Children,3,41
2764,Effects of Two Different Programs of Instruction on Motor Performance of Second Grade Students,3,41
2765,Reliability of Constant Error and Within-Individual Variability for Kinesthetically Monitored Force Reproduction,3,41
2766,Human Striated Muscle Ultrastructural Changes Accompanying Increased Strength without Hypertrophy,3,41
2767,Comparative Effects of Judo and Selected Physical Education Activities on Male University Freshman Personality Traits,3,41
2768,Intertrial Intervals and Motor Short-Term Memory,3,41
2769,Attitudes of Physically Handicapped Children toward Physical Education,3,41
2770,Personality Traits of Champion Level Female Fencers,3,41
2771,Use of the T-5 Cable Tensiometer Grip Attachment for Measuring Strength of College Men,3,41
2772,Exercise Electrocardiography Using Multipoint Electrodes and Computer Smoothing Techniques,3,41
2773,A Platform for Supine Bicycle Ergometer Work,3,41
2774,The Original Table of Contents and Research Quarterly Editors,3,41
2775,From the Editor's Desk…,4,41
2776,Effects of Consonant and Dissonant Role Playing with High or Low Justification on Attitude Change toward Physical Education Courses,4,41
2777,Evaluation of General versus Specific Instruction of Badminton Skills to Women of Low Motor Ability,4,41
2778,Retention of a Balance Skill as a Function of Initial Ability Level,4,41
2779,Specificity and Extended Practice,4,41
2780,Psychophysiologic Responses to Rotary Motions,4,41
2781,Canonical Relationships between the Motor and Intellectual Achievement Domains in Culturally Deprived High School Pupils,4,41
2782,Growth Status and Performance Relative to Parental Size,4,41
2783,Influence of Participation Motivation on Success and Satisfaction in Team Performance,4,41
2784,Functional Classification for Physical Education in the Upper Elementary Grades by Peer Assessment,4,41
2785,Effects of Imitative Resistance Exercise and Direct Practice on Handball Serving Skill,4,41
2786,Heart Rate Recovery during a College Basketball Game,4,41
2787,Effects of Rapid Weight Reduction and Subsequent Rehydration upon the Physical Working Capacity of Wrestlers,4,41
2788,The Cathartic Effect of Vigorous Motor Activity on Agressive Behavior,4,41
2789,A Mathematical Model for Evaluating Scoring Systems with Specific Reference to Tennis,4,41
2790,Study of Back-Lift Strength with Electrogoniometric Analysis of Hip Angle,4,41
2791,An Analysis of the Relationship between Somatotype and Personality Traits of College Women,4,41
2792,Effects of Practice Distribution on Learning a Fine Motor Task,4,41
2793,A Test of Activation as a General Factor in Strength Performance,4,41
2794,Effects of Varying Training Periods on the Development of Cardiovascular Efficiency of College Women,4,41
2795,"Personal-Social Adjustment, Physical Fitness, Attitude toward Physical Education of High School Girls by Socioeconomic Level",4,41
2796,Motor Performance Test Data for Elementary School Children,4,41
2797,A Prose Glossary,4,41
2798,"A Need for Replication in Research in Health, Physical Education, and Recreation",4,41
2799,A Template for Locating Segmental Centers of Gravity,4,41
2800,The Original Table of Contents and Research Quarterly Editors,4,41
2801,Effects of Hypnosis on the Learning of two Selected Motor Skills,1,42
2802,Variability of Heart Rate and Blood Pressure Measurements on Consecutive Days,1,42
2803,Learning Curves for Delayed Static and Dynamic Visual Feedback,1,42
2804,Cold Water Application Effects on Responses to Heat Stress during Exercise,1,42
2805,Effects of Physical Education on Fitness and Motor Development of Trainable Mentally Retarded Children,1,42
2806,An Evaluation of a Foundations of Physical Activity Course,1,42
2807,Stress Reactivity in Tennis Players,1,42
2808,"Motor, Cognitive, and Affective Relationships among Advantaged Preschool Children",1,42
2809,Application of the Cooper Twelve-Minute Run-Walk Test to Young Males,1,42
2810,Effects of Overlearning on the Retention of a Gross Motor Skill,1,42
2811,Comparison of Adult Exercisers and Nonexercisers on Fluid Intelligence and Selected Physiological Variables,1,42
2812,A Novel Discrete Gross Motor Learning Task: Modifications of the Bachman Ladder,1,42
2813,Learning under a Traditional and an Experimental Schedule Involving Master Classes,1,42
2814,A Modified Step Test for Group Cardiovascular Testing,1,42
2815,Comments on Singer's Study of Differences between Third and Sixth Grade Children,1,42
2816,A Reply to Keogh's Critique of Differences between Third and Sixth Grade Children,1,42
2817,An On-Line Computer System for Recording Biomechanical Data,1,42
2818,Data Modeling Techniques in Cinematographic Research,1,42
2819,The Original Table of Contents and Research Quarterly Editors,1,42
2820,From the Editor's Desk…,2,42
2821,"Home Front, Battle Field, and Sport during the Civil War",2,42
2822,Personality Characteristics Related to Injuries in Football,2,42
2823,"State and Trait Anxiety, Achievement Motivation and Skill Attainment in College Women",2,42
2824,Overlearning as a Variable in the Retention of Gross Motor Skills by the Mentally Retarded,2,42
2825,Accuracy in Horizontal Arm Positioning,2,42
2826,Influence of Intensive Workshop on Teachers' Sex Information and Attitudes toward Sex Education,2,42
2827,Factor Analysis of Selected Muscular Strength and Motor Performance Tests,2,42
2828,The One-Minute Step Test as a Measure of 600-Yard Run Performance,2,42
2829,"Aerobic Capacity, Heart Rate and Estimated Energy Cost during Women's Competitive Basketball",2,42
2830,Estimation of Maximal Oxygen Intake from Submaximal Work Parameters,2,42
2831,Maximum Isometric Strength and Relative Muscular Endurance Gains and Their Relationships,2,42
2832,Effect of Shoe Type and Cleat Length on Incidence and Severity of Knee Injuries among High School Football Players,2,42
2833,Refractoriness of a Long Movement,2,42
2834,A Twenty-Year Study of the Physical Fitness of Entering Freshmen at Texas A&M University,2,42
2835,A Fortran Program for the Reduction of Open-Circuit Data,2,42
2836,Motivational Correlates of University Athletes and Exercising and Nonexercising Middle-Aged Subjects,2,42
2837,The Original Table of Contents and Research Quarterly Editors,2,42
2838,Correction,3,42
2839,From the Editor's Desk…,3,42
2840,Statistical Comprehension for Graduate Students in Physical Education: Test and Norms,3,42
2841,Isometric Strength and Relative Isometric Endurance,3,42
2842,Social Stereotyping of Female Body Image by Elementary School Age Girls,3,42
2843,An Electromyographic Investigation of the Rectus Abdominis in Abdominal Exercises,3,42
2844,Use of Certain Physiological Variables in the Selection of the 1967 New Zealand Crew,3,42
2845,The Bradycardia Reflex in Competitive Swimmers,3,42
2846,Pre- and Post-Test Changes in the Factors that Influence Computed Body Density Changes,3,42
2847,Isometric Strength Fatigue Patterns in Female Subjects,3,42
2848,Learning and Tension as Factors in Static Strength Gains Produced by Static and Eccentric Training,3,42
2849,Internal-External Control and Social Reinforcement Effects on Motor Performance,3,42
2850,Retroactive Interference and Amount of Original Learning in Verbal and Motor Tasks,3,42
2851,A Comparison of Correlational Methods,3,42
2852,Learning and Performance,3,42
2853,Sources of Research Laboratory Equipment,3,42
2854,The Original Table of Contents and Research Quarterly Editors,3,42
2855,From the Editor' Desk…,4,42
2856,"Strength, Endurance, and Blood Flow Responses to Isometric Training",4,42
2857,"Prediction of Oxygen Intake from Ventilation, and Oxygen Intake and Work Capacity from Heart Rate during Heavy Exercise",4,42
2858,Muscular Fatigue and Learning a Discrete Motor Skill,4,42
2859,Skill Acquisition by Two Body Parts with Concurrent Practice,4,42
2860,Size Estimation as a Measure of Body Image of the Movement Performer,4,42
2861,Mechanism of Rising on the Toes,4,42
2862,Multiple Choice Reaction Time and Movement Time during Physical Exertion,4,42
2863,Effect of Selected Exercise Variables on Ligament Stability and Flexibility of the Knee,4,42
2864,"Test of Physical Fitness Knowledge: Construction, Administration and Norms",4,42
2865,Comparison of Verbal and Visual Cues in Teaching Beginning Swimming,4,42
2866,"Statistical Tests of Significance: Truth, Paradox, or Folly?",4,42
2867,Cardiovascular Characteristics of Selected Track Participants in the First Annual Dgws Track and Field Meet,4,42
2868,Velocity Curve of the Horizontal Approach of the Competitive Long Jumper,4,42
2869,A Heart Rate Telemetry System to Study Activity of Children during Free Play,4,42
2870,Objectivity of Judging at the National Collegiate Athletic Association Gymnastic Meet: A Twenty-Year Follow-up Study,4,42
2871,Changes in Maximal Oxygen Uptake in High School Runners over a Competitive Track Season,4,42
2872,"Maximum Dynamic Strength, Relative Dynamic Endurance, and Their Relationships",4,42
2873,Common Errors in Reports of Psychological Studies,4,42
2874,Comment on “Common Errors in Reports of Psychological Studies”,4,42
2875,The Original Table of Contents and Research Quarterly Editors,4,42
2876,From the Editor's Desk…,1,43
2877,"Effects of Alcohol upon Maximum Oxygen Uptake, Lung Ventilation, and Heart Rate",1,43
2878,A Comparison of Body Image and Self-Concept Variables among Various Sport Groups,1,43
2879,Numerical Performance as a Function of Prior Exercise and Aerobic Capacity for Elementary School Boys,1,43
2880,An Analysis of the Power of Statistical Tests Reported in the Research Quarterly,1,43
2881,"Reliability, Individual Differences and Intravariation of Endurance Performance on the Bicycle Ergometer",1,43
2882,Auditory EMG Feedback during a Sustained Submaximum Isometric Contraction,1,43
2883,Relationships of Space Utilization by Children with Selected Aspects of Behavior,1,43
2884,An Investigation of the Accuracy of Ratings of a Gross Motor Skill,1,43
2885,Success and Residential Affiliation as Determinants of Team Cohesiveness,1,43
2886,Validity of the Palpation Technique of Heart Rate Determination and its Estimation of Training Heart Rate,1,43
2887,Relation of Maximum Isometric Strength and Relative Isotonic Endurance of the Elbow Flexors of Athletes,1,43
2888,Prediction of Maximum Oxygen Intake from Running Performances of Untrained Young Men,1,43
2889,Effect of Small and Moderate Doses of Alcohol on Exercise Heart Rate and Oxygen Consumption,1,43
2890,A Simple Camera Synchronizer for Combined Cinephotography and Electromyographic Kinesiology for Use with a Pen Recorder,1,43
2891,Comparison of Student Improvement by Exponential Modification of Test-Retest Scores,1,43
2892,Time-Saving Tables for Calculating Oxygen Consumption and Respiratory Quotient,1,43
2893,The Original Table of Contents and Research Quarterly Editors,1,43
2894,From the Editor's Desk…,2,43
2895,Identification of Author Credit in the Case of Multiple Authorship,2,43
2896,Note from the Editor…,2,43
2897,Effect of a Gross Motor Activity on Recovery from Reactive Inhibition in a Rotary Pursuit Task,2,43
2898,Sustained Handgrip in Boys and Girls: Variation and Correlation with Performance and Motivation to Train,2,43
2899,Sixteen Personality Factor Profiles of Competitive Bodybuilders and Weightlifters,2,43
2900,Values of Physical Activity Perceived by Male University Students,2,43
2901,Facultative and Inhibitory Effects of the Tonic Neck Reflex upon Grip Strength of Right- and Left-Handed Children,2,43
2902,A Further Investigation of the Optimum Angle of Projection for the Racing Start in Swimming,2,43
2903,"Age and Physiological Adjustment to Continuous, Graded Treadmill Exercise",2,43
2904,"Effects of Social Reinforcement, Subject Sex, and Experimenter Sex on Children'S Motor Performance",2,43
2905,Auditory and Visual Perception of Rhythm by Performers Skilled in Selected Motor Activities,2,43
2906,Sports Interests and Abilities as Contributors to Self-Concept in Junior High School Boys,2,43
2907,Physiological Variables Related to the Selection of Work Effort on a Treadmill and Bicycle,2,43
2908,Physical Characteristics of College Age Women Gymnasts,2,43
2909,Relationships between Physical Working Capacity and Running Performances of Young Boys,2,43
2910,A Target Device to Measure Speed and Accuracy in an Open and Closed Environment,2,43
2911,A Dependable Method of Continuous Recording of Ventilation Meter Output,2,43
2912,Effective Use of Force Plates for Long Jump Studies,2,43
2913,The Original Table of Contents and Research Quarterly Editors,2,43
2914,Editor's Note,3,43
2915,Foreword,3,43
2916,Overview of the Skill Learning Process,3,43
2917,The Obtaining and Processing of Information: Some Basic Issues Relating to Analysing Inputs and Making Decisions,3,43
2918,Movements to Match Environmental Demands,3,43
2919,Maximizing Goal Attainment,3,43
2920,Task Analysis: A Consideration for Teachers of Skills,3,43
2921,Implications for Physical Education,3,43
2922,A Suggested Direction for the Study of Motor Performance by Physical Educators,3,43
2923,Postscript,3,43
2924,The Original Table of Contents and The Research Quarterly Editors,3,43
2925,Correction,4,43
2926,Health Knowledge of Young Adults from Two Socioeconomic Levels,4,43
2927,"A Comparison of Personality Traits of Superior Skilled Women Athletes in Basketball, Bowling, Field Hockey, and Golf",4,43
2928,Effects of Dehydration upon Physical Working Capacity of Wrestlers under Competitive Conditions,4,43
2929,Integration of Physical Education Skills with the Concept of Levers at Intermediate Grade Levels,4,43
2930,Money and Praise: Do They Improve Motor Learning and Performance?,4,43
2931,Factor Analysis of Physical Fitness Tests,4,43
2932,Selection of a Fifteen-Minute Work Load on a Treadmill and Bicycle,4,43
2933,Performance by Males and Females on Three Motor Tasks under Standard and Mirror Reversal Conditions,4,43
2934,Comparison of Absolute and Relative Leg Power as Predictors of Physical Performance,4,43
2935,Cardiorespiratory and Body Composition Measurements of a Select Group of High School Football Players,4,43
2936,Moving Embedded Figures Test,4,43
2937,Effects of Precision of Information Feedback upon Acquisition of a Motor Skill,4,43
2938,Comparison of Generality and Specificity Factors Estimated with Squared Correlation and Analysis of Variance Techniques,4,43
2939,Comparison of Correlational Methods — Mathematical versus Empirical Methodology,4,43
2940,A Reply to Schutz's Critique of a Comparison of Correlational Methods,4,43
2941,A Note on Response Strategies in Children with Learning Difficulties,4,43
2942,The Original Table of Contents and Research Quarterly Editors,4,43
2943,Correction,1,44
2944,Effects of Increasing Inertial Resistance on Performance and Learning of a Training Task,1,44
2945,Effects of Cold Showers on the Heart Rate and Oxygen Uptake of Trained Runners,1,44
2946,Psychological Refractoriness of Two Serial Motor Responses,1,44
2947,Stephanie-Felicite Du Crest La Comtesse De Genlis (1746–1831) Early Female Proponent of Physical Education,1,44
2948,Construction of a Submaximal Cardiovascular Step Test for College Females,1,44
2949,Placebo and Competitive Placebo Effects on Motor Skill,1,44
2950,Relative Academic Achievement of Varsity Athletes,1,44
2951,Effect of a Season of Collegiate Swimming Competition and Training on Selected Responses,1,44
2952,"Comparative Electromyographic Values of Isometric, Isotonic, and Isokinetic Contraction",1,44
2953,Effect of Placement in the Order of Competition on Scores of Nebraska High School Students,1,44
2954,Force-Velocity Relation in Throwing,1,44
2955,Comparative Effects of Isometric and Isotonic Training Programs on Relative-Load Endurance and Work Capacity,1,44
2956,Heritability of a Gross Motor Balance Task,1,44
2957,"Within-Subject Variation, Measurement Error, and Selection of a Criterion Score",1,44
2958,Comments on the Hetherington Paper,1,44
2959,A Comparison of Single Vs. Multiple Daily Training Regimens: Some Physiological Considerations,1,44
2960,The Original Table of Contents and Research Quarterly Editors,1,44
2961,Maximal Oxygen Intake and Maximal Work Performance of Active College Women,2,44
2962,Effect on Temporal Expectancy of the Position of a Selected Foreperiod within a Range,2,44
2963,The Effects of Induced Arousal on Learning and Performance of a Pursuit Motor Skill,2,44
2964,"Influence of a Special Camp Program for Obese Boys on Weight Loss, Self-Concept, and Body Image",2,44
2965,Body Composition Changes in Adult Men during Selected Weight Training and Jogging Programs,2,44
2966,Prior Exercise and Circulorespiratory Endurance,2,44
2967,"A Comparison of the Effects of Sex, Competition, and Ability on a Perceptual Motor Task",2,44
2968,Effects of Experimenter's Gender on Subject's Performance,2,44
2969,The Relative Importance of Various Physical Education Objectives for Grades K-2,2,44
2970,Anaerobic Capacity as a Function of Somatotype and Participation in Varsity Athletics,2,44
2971,Relationship between Individual Differences in a Steady Pace Endurance Running Performance and Maximal Oxygen Intake,2,44
2972,Stroboscopic Study of Motion Changes That Accompany Modifications and Improvements in a Throwing Performance,2,44
2973,"Computer-Based Storage and Retrieval Information Systems That can be Utilized in Health, Physical Education and Recreation Research",2,44
2974,A Rhythmic Ability Analysis System,2,44
2975,A Method of Determining Co2 Percentages Using a Paramagnetic Oxygen Analyzer,2,44
2976,The Original Table of Contents and Research Quarterly Editors,2,44
2977,Family Influence and Involvement in Sports,3,44
2978,Exercise-Induced Activation and Human Performance: A Review,3,44
2979,Occupational Socialization and Value Orientation of Athletic Coaches,3,44
2980,Prediction of Endurance Performance and Oxygen Consumption from Cardiac Time Components,3,44
2981,Mechanical Analysis of Windmill Fast Pitch in Women's Softball,3,44
2982,"Maximal Oxygen Intake, Endurance Running Performance, and Body Composition in College Women",3,44
2983,"Body Composition, Cardiorespiratory Function, and Rule Changes in Women's Basketball",3,44
2984,Effects of Social Facilitation upon Females' Performance of two Psychomotor Tasks,3,44
2985,"Education as a Concern of the State: Physical Education in National Plans for Education in France, 1763-1795",3,44
2986,A Historical Reinterpretation of the Forces Underlying the First State Legislation for Physical Education in the Public Schools of the U.S.,3,44
2987,Somatotypes of Male Physical Education Majors in Four Countries,3,44
2988,A Somatotype Dispersion Index,3,44
2989,A Slide Rule to Correlate Electromyographic and Electrogoniometric Data,3,44
2990,An Improved Stabilometer Task Apparatus,3,44
2991,The Original Table of Contents and Research Quarterly Editors,3,44
2992,Influence of Dynamic Muscular Fatigue and Recovery on Static Strength,4,44
2993,Chronic Effects of Long Term Cigarette Smoke Inhalation upon the Development of Oxygen Debt Capacity in Albino Mice,4,44
2994,Relationship of Selected Tests of Leg Strength and Leg Power on College Men,4,44
2995,Effect of Varient Dosages of Amphetamine upon Endurance,4,44
2996,"Effectiveness of Motor, Intellectual, and Personality Domains in Predicting Group Status in Disadvantaged High School Pupils",4,44
2997,Characteristics of Male Fencers in the 28th Annual NCAA Fencing Championships,4,44
2998,Motor Skills Learning and the Specificity of Training Principle,4,44
2999,Relationship among Selected Cardiorespiratory Variables in Young Adult Females,4,44
3000,"Residual Muscular Soreness as Influenced by Concentric, Eccentric, and Static Contractions",4,44
3001,Effects of Prepubertal Forced Exercise upon Postpubertal Organ and Body Weights of Female Rats,4,44
3002,Influence of Enforced Motor and Sensory Sets on Reaction Latency and Movement Speed,4,44
3003,Significance of Angular Momentum in Long Jumping,4,44
3004,Percentile Norms for a Valid Step Test in College Women,4,44
3005,Telemetered Heart Rates Recorded during Karate Katas: A Case Study,4,44
3006,The Original Table of Contents and Research Quarterly Editors,4,44
3007,Effects of Group Social Structure on the Success of Basketball Teams,1,45
3008,Relationship between Running Performance and Predicted Maximum Oxygen Uptake among Divergent Ability Groups,1,45
3009,Stabilometer Trial Length as a Function of Performance,1,45
3010,Attitudes toward Physical Activity of Delinquent and Nondelinquent Junior High School Age Girls,1,45
3011,Speed of Movement with Varying Footwear Conditions on Synthetic Turf and Natural Grass,1,45
3012,Effects of Daily Physical Exercise on the Psychiatric State of Institutionalized Geriatric Mental Patients,1,45
3013,Effect of Achievement Motivation and Social Environment on Risk Taking,1,45
3014,An Analysis of Gymnastic Performance under Conditions of Practice and Spectator Observation,1,45
3015,Electromyographic Analysis of Patterns used to Reproduce Muscular Tension,1,45
3016,Method for Biomechanical Analysis of Human Performance,1,45
3017,A Statistical Model for Baseball Standings,1,45
3018,Measuring Leg Force-Output Capacity with an Isokinetic Dynamometer-Bicycle Ergometer,1,45
3019,The Original Table of Contents and Research Quarterly Editors,1,45
3020,Erratum,2,45
3021,Attitude Testing Examining Certain Psychological Correlates of Physical Activity,2,45
3022,"Concern for the Physical Education of the Female Sex from 1675 to 1800 in France, England, and Spain",2,45
3023,Shoulder Muscle Activity during Selected Skills on the Uneven Parallel Bars,2,45
3024,Method of Calculating Mechanical Power in Swimming the Breast Stroke,2,45
3025,Preliminary Exercise: A Two-Factor Theory,2,45
3026,Prediction of First Grade Academic Performance from Kindergarten Perceptual-Motor Data,2,45
3027,Effects of Movement Complexity on Choice Reaction and Movement Times,2,45
3028,Statistical Models for Inter- and Intraindividual Variability,2,45
3029,Analysis of Cratty's Locomotor Agility Test,2,45
3030,Duration and Frequency of Training as Determinants of Coronary Tree Capacity in the Rat,2,45
3031,The Mechanics of Toppling Techniques in Diving,2,45
3032,Criterion Score for Multiple Trial Measures,2,45
3033,Vanguard Model G/And Modifications for 16-Mm Film Analysis in Biomechanical Research,2,45
3034,Apparatus to Move Objects in Three Dimensional Space,2,45
3035,Environmental Chamber for the Swimming of Small Animals in Hypoxic Conditions,2,45
3036,A Simple Anthropometric Method for Calculating Segmental Leg Limb Volume,2,45
3037,Remarks concerning Sampling Used in the Research Quarterly,2,45
3038,The Original Table of Contents and Research Quarterly Editors,2,45
3039,New Editor for Research Quarterly,3,45
3040,Motivational Differentials among Physically Active and Inactive Mature Males as Measured by the Motivational Analysis Test,3,45
3041,Least Squares Model for the Running Curve,3,45
3042,Individual Differences in O2 Deficit and O2 Debt,3,45
3043,Second Factor Analysis Study of Physical Fitness Tests,3,45
3044,Physiological and Hematological Changes among Basketball Players during Preseason,3,45
3045,Thought Sampling: A Study of Student Attention through Self-Report,3,45
3046,"Harmony and Cooperation: Attitudes toward Physical Education and Recreation in Utopian Social Thought and American Communitarian Experiments, 1825–1865",3,45
3047,"Influence of Object Size, Speed, and Direction on the Perception of a Moving Object",3,45
3048,Three-Dimensional Cinematography: A Flexible Approach,3,45
3049,Comparison of Coacting Individuals' Motor Performance for Varying Combinations of Initial Ability,3,45
3050,Mathematical Correction for Photographic Perspective Error,3,45
3051,Racial Ethnic Comparisons on Selected Motor Performance Tests,3,45
3052,The Original Table of Contents and Research Quarterly Editors,3,45
3053,New Editor for Research Quarterly,4,45
3054,Erratum,4,45
3055,A Symposium,4,45
3056,Physiological Characteristics of Champion Male Athletes,4,45
3057,Physiological Characteristics of Female Athletes,4,45
3058,Physiological Characteristics of Older Champion Track Athletes,4,45
3059,Selected Psychological Considerations in Sport,4,45
3060,Computer Analysis of Champion Athletic Performance,4,45
3061,Orientations toward Work and Leisure as Predictors of Sports Involvement,4,45
3062,An Instrument for Assessing Children's Attitudes toward Physical Activity,4,45
3063,Effects of Experimenter Expectancy Set and Experimenter Sex upon Grip Strength and Hand Steadiness Scores,4,45
3064,Factor Analysis of Gross and Fine Motor Ability in Developmentally Disabled Children,4,45
3065,Body Composition Changes in Young Women with High Resistance Weight Training,4,45
3066,Relationship between Selected Volleyball Skill Components and Team Performance of Men's Northwest “AA” Volleyball Teams,4,45
3067,Use of Weight-Adjusted Oxygen Uptake Scores that Avoid Spurious Correlations,4,45
3068,Instrumentation for Obtaining Fractionated Electromyographical Response Times to a Joint Displacement Stimulus,4,45
3069,An Investigation into the Practicality of Using the Hales' Exponential Method of Evaluating Improvement,4,45
3070,An Adaptable Electronic Circuitry for Serial Motor Skills,4,45
3071,The Original Table of Contents and Research Quarterly Editors,4,45
3072,Pretask Speed Training and Movement Complexity as Factors in Rotary Pursuit Skill Acquisition,1,46
3073,Reliability of Predicting Maximal Oxygen Intake using the Astrand-Ryhming Nomogram,1,46
3074,Influence of Tonic Neck Posture upon Grip Strength of Institutionalized Mental Retardates,1,46
3075,Effect of Distributed and Massed Practice upon the Learning of a Velocity Task,1,46
3076,Changes in VO2 max Resulting from Bicycle Training at Different Intensities Holding Total Mechanical Work Constant,1,46
3077,Minute-by-Minute Oxygen Requirement and Work Efficiency for Constant- Load Exercise of Increasing Duration,1,46
3078,Determinants of the Flight of the Kicked Football,1,46
3079,Sex and Achievement Motivation Effects on Risk Taking,1,46
3080,Effects of a Stressor on a Specific Motor Task on Individuals Displaying Selected Personality Factors,1,46
3081,Two Speeds of Isokinetic Exercise as Related to the Vertical Jump Performance of Women,1,46
3082,Factorial Analyses of Perceptual Motor and Reading Skills,1,46
3083,Validation of a Ski Simulator,1,46
3084,Comparative Analysis of Unaided Emmetropic and Unaided Noncorrected Myopic Underwater Visual Acuity,1,46
3085,Effects of Maximizing Inertial Resistance on Performing and Learning a Motor Task,1,46
3086,Physiological Requirements of Aerobic Dancing,1,46
3087,The Original Table of Contents and Research Quarterly Editors,1,46
3088,Personality Characteristics of Selected Groups of Women Educators,2,46
3089,Effects of Jogging and Cycling Programs on Physiological and Personality Variables in Aged Men,2,46
3090,A Simple Surface Electrode Specially Suited for Electromyographic Studies of Vigorous Movements,2,46
3091,Movement Times for Jab and Cross-Over Steps by High School Football Players,2,46
3092,Errors Caused by Misalignment of the Cameras in Cinematographical Analyses,2,46
3093,Effects of Performance Goals and Anxiety on Learning a Gross Motor Task,2,46
3094,Construct Validation of Distance Run Tests,2,46
3095,Effects of Complexity on Movement Refractoriness,2,46
3096,Counselor Preferences of Female High School Students in the State of Illinois,2,46
